DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
36875590,Josh Jacobs,RB,GB,DET,Q,14700,,30.58,,30.58,2.080272108843537,15.84,16.912468692845657,0,100,24.382,52.2474,20.3883,13.3,19,25.9,30.2,37.9,46.9025,18.6649,11.7,17.2,23.95,28.2,35.7025,44.6515,18.0149,11.7,16.9,23,26.7575,33.6,41.7525,20.3883,13.3,19,25.9,30.2,37.9,46.9025,9.43168,9.08722,8.39502,9.43168,0,0,0,0,0,3.44679,29.6448,0.188971,18.423,74.7755,0.800029
36875592,Jordan Love,QB,GB,DET,,14100,,28.42,,28.42,2.0156028368794328,11.73,11.838181450997473,0,100,24.382,52.2474,18.9459,13.28,18.32,23.76,27.14,32.4515,38.741,18.9459,13.28,18.32,23.76,27.14,32.4515,38.741,17.8577,13,17.39,22.12,24.82,29.72,35.8406,18.9459,13.28,18.32,23.76,27.14,32.4515,38.741,7.57588,7.57588,6.71131,7.57588,35.813,22.8225,279.885,1.7106,0.958457,0,0,0,1.48163,5.58806,0.0556714
36875589,Amon-Ra St. Brown,WR,DET,GB,,15300,,26.52,,26.52,1.7333333333333332,5.71,5.800297117645888,0,100,27.8654,52.2474,17.6786,10.6,16.1,23.6,27.9,35,43.3,14.8859,8.4,13.2,19.8625,24.2,30.7,38.3,14.0111,8.4,13,18.5,21.8,27.805,35.401,17.6786,10.6,16.1,23.6,27.9,35,43.3,9.39952,8.48627,7.52401,9.39952,0,0,0,0,0,5.58549,80.2706,0.511957,0.194943,0.807391,0.008
36875593,Jahmyr Gibbs,RB,DET,GB,,13500,,26.04,,26.04,1.9288888888888889,11.96,12.774958384249391,0,100,27.8654,52.2474,17.3579,10.9,16.1,22.4,26,33.2025,41.701,15.9294,9.6,14.7,20.8,24.2575,31.4,39.501,15.5252,9.6,14.6,20.2125,23.5,29.7525,37.4027,17.3579,10.9,16.1,22.4,26,33.2025,41.701,8.49974,8.2049,7.69517,8.49974,0,0,0,0,0,2.85709,23.042,0.174129,14.8503,65.4925,0.710814
36875591,Jared Goff,QB,DET,GB,,14400,,25.79,,25.79,1.7909722222222222,7.21,7.194028933686785,0,100,27.8654,52.2474,17.1964,12.26,16.44,21.605,24.24,29.522,35.8157,17.1964,12.26,16.44,21.605,24.24,29.522,35.8157,16.5721,12.18,16.09,20.5,22.943,27.401,33.0008,17.1964,12.26,16.44,21.605,24.24,29.522,35.8157,6.88174,6.88174,6.20482,6.88174,30.6152,20.8444,249.961,1.67059,0.513657,0,0,0,0.845071,2.85647,0.0311857
36875594,David Montgomery,RB,DET,GB,,12900,,25.69,,25.69,1.9914728682170544,10.13,10.73708194054093,0,100,27.8654,52.2474,17.1295,10.7,15.9,22.2,26,33,41.7525,15.7742,9.5,14.6,20.6,24.3787,31.305,39.7505,15.3804,9.5,14.4,20,23.5,29.7025,37.6005,17.1295,10.7,15.9,22.2,26,33,41.7525,8.49195,8.20835,7.70577,8.49195,0,0,0,0,0,2.71053,22.3403,0.165843,15.5259,65.3388,0.721829
36875595,Jayden Reed,WR,GB,DET,,11400,,23.48,,23.48,2.0596491228070177,10.13,10.98860169287033,0,100,24.382,52.2474,15.656,9.3,14,20.8,25.1,32,39.9,12.9864,7.2,11.3,17.6,21.5,27.8,35.3,12.3587,7.2,11.3,16.5,19.5,25.105,32.3,15.656,9.3,14,20.8,25.1,32,39.9,8.6068,7.7127,6.88366,8.6068,0,0,0,0,0,5.33924,70.7908,0.414243,0.2181,0.879023,0.0084
36875540,Josh Jacobs,RB,GB,DET,Q,9800,,20.39,,20.39,2.080612244897959,37.01,38.554704913998364,0,100,24.382,52.2474,20.3883,13.3,19,25.9,30.2,37.9,46.9025,18.6649,11.7,17.2,23.95,28.2,35.7025,44.6515,18.0149,11.7,16.9,23,26.7575,33.6,41.7525,20.3883,13.3,19,25.9,30.2,37.9,46.9025,9.43168,9.08722,8.39502,9.43168,0,0,0,0,0,3.44679,29.6448,0.188971,18.423,74.7755,0.800029
36875542,Jordan Love,QB,GB,DET,,9400,,18.95,,18.95,2.0159574468085104,35.25,35.50460469035959,0,100,24.382,52.2474,18.9459,13.28,18.32,23.76,27.14,32.4515,38.741,18.9459,13.28,18.32,23.76,27.14,32.4515,38.741,17.8577,13,17.39,22.12,24.82,29.72,35.8406,18.9459,13.28,18.32,23.76,27.14,32.4515,38.741,7.57588,7.57588,6.71131,7.57588,35.813,22.8225,279.885,1.7106,0.958457,0,0,0,1.48163,5.58806,0.0556714
36875539,Amon-Ra St. Brown,WR,DET,GB,,10200,,17.68,,17.68,1.7333333333333332,53.26,59.7829857636307,0,100,27.8654,52.2474,17.6786,10.6,16.1,23.6,27.9,35,43.3,14.8859,8.4,13.2,19.8625,24.2,30.7,38.3,14.0111,8.4,13,18.5,21.8,27.805,35.401,17.6786,10.6,16.1,23.6,27.9,35,43.3,9.39952,8.48627,7.52401,9.39952,0,0,0,0,0,5.58549,80.2706,0.511957,0.194943,0.807391,0.008
36875543,Jahmyr Gibbs,RB,DET,GB,,9000,,17.36,,17.36,1.9288888888888889,33.96,35.62194459243924,0,100,27.8654,52.2474,17.3579,10.9,16.1,22.4,26,33.2025,41.701,15.9294,9.6,14.7,20.8,24.2575,31.4,39.501,15.5252,9.6,14.6,20.2125,23.5,29.7525,37.4027,17.3579,10.9,16.1,22.4,26,33.2025,41.701,8.49974,8.2049,7.69517,8.49974,0,0,0,0,0,2.85709,23.042,0.174129,14.8503,65.4925,0.710814
36875541,Jared Goff,QB,DET,GB,,9600,,17.2,,17.2,1.7916666666666667,43.86,43.63146388529453,0,100,27.8654,52.2474,17.1964,12.26,16.44,21.605,24.24,29.522,35.8157,17.1964,12.26,16.44,21.605,24.24,29.522,35.8157,16.5721,12.18,16.09,20.5,22.943,27.401,33.0008,17.1964,12.26,16.44,21.605,24.24,29.522,35.8157,6.88174,6.88174,6.20482,6.88174,30.6152,20.8444,249.961,1.67059,0.513657,0,0,0,0.845071,2.85647,0.0311857
36875544,David Montgomery,RB,DET,GB,,8600,,17.13,,17.13,1.991860465116279,46.51,50.24530183819853,0,100,27.8654,52.2474,17.1295,10.7,15.9,22.2,26,33,41.7525,15.7742,9.5,14.6,20.6,24.3787,31.305,39.7505,15.3804,9.5,14.4,20,23.5,29.7025,37.6005,17.1295,10.7,15.9,22.2,26,33,41.7525,8.49195,8.20835,7.70577,8.49195,0,0,0,0,0,2.71053,22.3403,0.165843,15.5259,65.3388,0.721829
36875603,Sam LaPorta,TE,DET,GB,,8400,,17.08,,17.08,2.033333333333333,5.45,5.5315935734488795,0,100,27.8654,52.2474,11.3852,6.1,10.1,15.2,18.9,25.6,33.3,9.35168,4.6,8,12.7,16.2,22.5,29.5,9.11005,4.6,8,12.6,15.4,20.5,26.701,11.3852,6.1,10.1,15.2,18.9,25.6,33.3,7.1997,6.42708,5.96346,7.1997,0,0,0,0,0,4.06696,51.2133,0.326714,0,0,0
